#NENW,,,,,
,,,,,
choose_arboreal_patron;Choose a Patron Diety;;;;;;;;;;;;;x,,,,,
choose_arboreal_patron_desc;The Arboreal faith has many Gods. I should associate myself with one of them.;;;;;;;;;;;;;x,,,,,
arboreal1Desc;The Great Architect is the creator of the universe, but there are many gods that can be worshiped among the Arboreal faithful, while others must be kept away. You should choose one to follow.;;;;;;;;;;;;;x,,,
EVTOPTA_arboreal1;I shall follow the teachings of our Mother, Gaia.;;;;;;;;;;;;;x,,,,
EVTOPTB_arboreal1;The Great Architect is the greatest, may he guide me!;;;;;;;;;;;;;x,,,,
EVTOPTC_arboreal1;The Lesser Gods rule over many things, they deserve my worship.;;;;;;;;;;;;;x,,,,
EVTOPTD_arboreal1;I will instead devote myself to halting the Old Ones.;;;;;;;;;;;;;x,,,,,
arboreal_gaian_opinion;Gaian Lodge Opinion;;;;;;;;;;;;;x,,,,,
arboreal_architect_opinion;Architectural Lodge Opinion;;;;;;;;;;;;;x,,,,,
arboreal_murican_opinion;Hero Lodge Opinion;;;;;;;;;;;;;x,,,,,
arboreal_old_ones_opinion;Sacrificial Lodge Opinion;;;;;;;;;;;;;x,,,,,
arboreal_reformed_gaian_opinion;Gaian Lodge Opinion;;;;;;;;;;;;;x,,,,,
arboreal_reformed_architect_opinion;Architectural Lodge Opinion;;;;;;;;;;;;;x,,,,,
arboreal_reformed_murican_opinion;Hero Lodge Opinion;;;;;;;;;;;;;x,,,,,
arboreal_reformed_old_ones_opinion;Sacrificial Lodge Opinion;;;;;;;;;;;;;x,,,,,
lobsterfolk_opinion;Lobsterfolk Opinion;;;;;;;;;;;;;x,,,,,
kolorantoi_opinion;[kolorantoi.GetName] Opinion;;;;;;;;;;;;;x,,,,,
westerosi_valyrian_opinion;[westerosi_valyrian.GetName] Opinion;;;;;;;;;;;;;x,,,,,
florintoi_opinion;[florintoi.GetName] Opinion;;;;;;;;;;;;;x,,,,,
intianoi_opinion;[intianoi.GetName] Opinion;;;;;;;;;;;;;x,,,,,
gaian_opinion;Gaian Opinion;;;;;;;;;;;;;x,,,,,
ny_asian_opinion;Dongren Opinion;;;;;;;;;;;;;x,,,,,
californian_opinion;Anglofornian Opinion;;;;;;;;;;;;;x,,,,,
californio_group_opinion;Hispanifornian Opinion;;;;;;;;;;;;;x,,,,,
celtic_pagan_opinion;Fogwatcher Opinion;;;;;;;;;;;;;x,,,,,
celtic_pagan_reformed_opinion;Reformed Fogwatcher Opinion;;;;;;;;;;;;;x,,,,,
mainline_opinion;Mainline Opinion;;;;;;;;;;;;;x,,,,,
crawfisher_opinion;Crawfisher Opinion;;;;;;;;;;;;;x,,,,,
antiquarianist_opinion;[antiquarianist.GetName] Opinion;;;;;;;;;;;;;x,,,,,
antiquarianist_reformed_opinion;Reformed Industrialist Opinion;;;;;;;;;;;;;x,,,,,
loyalist_opinion;Loyalist Opinion;;;;;;;;;;;;;x,,,,,
sedevacantist_opinion;Gallicanist Opinion;;;;;;;;;;;;;x,,,,,
raelian_opinion;[raelian.GetName] Opinion;;;;;;;;;;;;;x,,,,,
delver_opinion;[delver.GetName] Opinion;;;;;;;;;;;;;x,,,,,
delver_reformed_opinion;Reformed Delver Opinion;;;;;;;;;;;;;x,,,,,
quaker_opinion;[quaker.GetName] Opinion;;;;;;;;;;;;;x,,,,,
tquaker_opinion;[tquaker.GetName] Opinion;;;;;;;;;;;;;x,,,,,
salihi_opinion;[salihi.GetName] Opinion;;;;;;;;;;;;;x,,,,,
mahayana_opinion;[mahayana.GetName] Opinion;;;;;;;;;;;;;x,,,,,
triumphant_opinion;[triumphant.GetName] Opinion;;;;;;;;;;;;;x,,,,,
ojibwe_opinion;[ojibwe.GetGroupName] Opinion;;;;;;;;;;;;;x,,,,,
peyotist_opinion;[peyotist.GetName] Opinion;;;;;;;;;;;;;x,,,,,
dragon_group_opinion;[dragon_group.GetGroupName] Opinion;;;;;;;;;;;;;x,,,,,
high_american_opinion;[high_american.GetGroupName] Opinion;;;;;;;;;;;;;x,,,,,
low_american_opinion;[low_american.GetGroupName] Opinion;;;;;;;;;;;;;x,,,,,
laurentine_anglo_opinion;[laurentine_anglo.GetGroupName] Opinion;;;;;;;;;;;;;x,,,,,
franco_canadian_opinion;[franco_canadian.GetGroupName] Opinion;;;;;;;;;;;;;x,,,,,
patron_isis_opinion;Isis Cult Opinion;;;;;;;;;;;;;x,,,,,
patron_horus_opinion;Horus-Ra Cult Opinion;;;;;;;;;;;;;x,,,,,
patron_linkon_opinion;Linkon Cult Opinion;;;;;;;;;;;;;x,,,,,
patron_osiris_opinion;Osiris Cult Opinion;;;;;;;;;;;;;x,,,,,
patron_thoth_opinion;Thoth Cult Opinion;;;;;;;;;;;;;x,,,,,
patron_hathor_opinion;Hathor Cult Opinion;;;;;;;;;;;;;x,,,,,
patron_sekhmet_opinion;Sekhmet Cult Opinion;;;;;;;;;;;;;x,,,,,
patron_anubis_opinion;Anubis Cult Opinion;;;;;;;;;;;;;x,,,,,
,,,,,
EVTNAME_kemetic_300;Choosing a Patron God;;;;;;;;;x,,,,,
EVTDESC_kemetic_300;Kemetics have many divine beings, which one will you choose as your Patron?;;;;;;;;;x,,,,
EVTNAME_kemetic_301;Choosing a Patron God;;;;;;;;;x,,,,,
EVTDESC_kemetic_301;Kemetics have many divine beings, which one will you choose as your Patron?;;;;;;;;;x,,,,
EVTNAME_kemetic_303;Choosing a Patron God;;;;;;;;;x,,,,,
EVTDESC_kemetic_303;Kemetics have many divine beings, which one will you choose as your Patron?;;;;;;;;;x,,,,
EVTOPTA_kemetic_300;I will join the Cult of Osiris;;;;;;;;;x,,,,,
