EVTNAME_triumphant_1;To Bury the Dead;;;;;;;;;x
EVTNAME_triumphant_2;The Age of Aggression;;;;;;;;;x
EVTDESC_triumphant_1;For the first time in many years, the battlefields of the old Frontier are silent. It is said that the Triumphant hordes are once more retreating to lick their wounds, their numbers exhausted after a lifetime of war, and their Lord's heavenly army swollen with new recruits. Some even go as far to say the only reason for the retreat is that they ran out of great warriors to triumph over.;;;;;;;;;x
EVTDESC_triumphant_2;The sound of trumpets and distant marching reverberates across the old Frontier as the Triumphant hordes once again prepare for war. It is said they will stop at nothing short of total defeat of their enemies, each soldier aiming to prove himself in the eyes of their Lord, hoping to join his host in Heaven. Whether or not the rumours of their zeal are true, it is without a doubt that war will grasp the dredges of poor old Columbia.;;;;;;;;;x
triumphant1OptA;And Hades was following close behind him...;;;;;;;;;x
triumphant1OptB;They'll run out of dirt to bury people with!;;;;;;;;;x
triumphant2OptA;To take peace from the Earth!;;;;;;;;;x
triumphant2OptB;To make men slay each other...;;;;;;;;;x
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Vinlander,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESCMPE.2333;The people of our nation no longer speak the language of their Anglophone ancestors, nor do they communicate through the language of their [This.Culture.GetName] overlords," instead they have merged the two languages. We know them to be the "Vymlanders".;;;;;;;;;;;;;x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTOPTAMPE.2333;These peasants are civilizing?;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESCMPE.2334;It seems that where once our two peoples were at odds, the Anglophone subjects have merged their language and customs with their [This.Culture.GetName] overlords'. I have even caught myself speaking this new tongue. Perhaps the peasantry are finally civilizing;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTOPTAMPE.2334;It seems we are all civilizing;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTOPTBMPE.2334;We are similar, but not the same;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESCMPE.2344;Recently I've found myself thinking in a language that is not my own, but of a culture of conquerors and peasantry, Vymlander. Perhaps converting to this hybrid culture will improve my social standing within our nation.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTOPTAMPE.2344;Indeed times are changing, and I must follow;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
convert_to_vinlander;Convert to Vymlander;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
convert_to_vinlander_desc;We will convert ourselves and our court to adopt this new hybrid culture, Vymlander.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Marklander,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESCMPE.2333;The people of our nation no longer speak the language of their French ancestors, nor do they communicate through the language of their [This.Culture.GetName] overlords," instead they have merged the two languages. We know them to be the "Markman".;;;;;;;;;;;;;x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTOPTAMPE.2333;These peasants are civilizing?;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESCMPE.2334;It seems that where once our two peoples were at odds, the French subjects have merged their language and customs with their [This.Culture.GetName] overlords'. I have even caught myself speaking this new tongue. Perhaps the peasantry are finally civilizing;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTOPTAMPE.2334;It seems we are all civilizing;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTOPTBMPE.2334;We are similar, but not the same;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESCMPE.2344;Recently I've found myself thinking in a language that is not my own, but of a culture of conquerors and peasantry, Markman. Perhaps converting to this hybrid culture will improve my social standing within our nation.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTOPTAMPE.2344;Indeed times are changing, and I must follow;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
convert_to_marklander;Convert to Markman;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
convert_to_marklander_desc;We will convert ourselves and our court to adopt this new hybrid culture, Markman.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Canadensium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESCOMNIMP.1;The people of our nation no longer speak the language of their Canadian ancestors, nor do they communicate through the language of their [This.Culture.GetName] overlords," instead they have merged the two languages. We know them to be the "Canadensium".;;;;;;;;;;;;;x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTOPTAOMNIMP.1;These peasants are civilizing?;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESCOMNIMP.11;It seems that where once our two peoples were at odds, the Canadian subjects have merged their language and customs with their [This.Culture.GetName] overlords'. I have even caught myself speaking this new tongue. Perhaps the peasantry are finally civilizing;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTOPTAOMNIMP.11;It seems we are all civilizing;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTOPTBOMNIMP.11;We are similar, but not the same;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESCOMNIMP.111;Recently I've found myself thinking in a language that is not my own, but of a culture of conquerors and peasantry, Canadensium. Perhaps converting to this hybrid culture will improve my social standing within our nation.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
